GP,F,A,GD,P
38,39,33,6,52
38,45,81,-36,24
38,51,27,24,70
34,48,57,-9,36
34,42,47,-5,44
38,37,79,-42,36
38,70,47,23,72
34,65,44,21,57
34,53,39,14,52
38,57,50,7,65
32,31,39,-8,37
38,54,29,25,69
28,30,41,-11,26
34,48,47,1,44
38,38,67,-29,35
38,44,51,-7,49
34,56,67,-11,34
38,61,37,24,68
38,35,66,-31,39
36,49,41,8,57
34,25,50,-25,35
34,46,51,-5,44
38,34,36,-2,41
38,46,50,-4,51
38,41,51,-10,43
38,40,39,1,45
38,51,57,-6,48
38,58,43,15,75
38,60,44,16,59
30,22,42,-20,22
34,51,50,1,44
34,39,41,-2,48
38,62,49,13,55
34,44,33,11,66
38,65,43,22,71
42,47,47,0,61
34,49,54,-5,42
38,31,43,-12,37
36,69,42,27,67
38,63,38,25,70
38,42,61,-19,46
34,53,31,22,65
38,41,55,-14,47
38,66,61,5,46
30,60,13,47,72
38,42,55,-13,42
38,58,46,12,58
34,71,37,34,67
34,42,67,-25,31
38,36,40,-4,44
38,39,61,-22,44
42,36,77,-41,24
34,40,59,-19,38
38,43,59,-16,40
38,71,24,47,87
36,32,61,-29,34
38,44,62,-18,40
38,71,27,44,82
38,35,57,-22,38
38,38,49,-11,41
38,44,50,-6,45
38,58,45,13,62
38,39,19,20,75
34,60,59,1,42
38,47,42,5,58
42,50,44,6,64
38,49,40,9,61
30,45,21,24,52
42,47,46,1,53
38,59,24,35,76
38,48,49,-1,50
38,38,55,-17,45
38,77,44,33,75
38,26,75,-49,21
38,36,43,-7,47
38,46,58,-12,45
30,25,56,-31,19
42,49,28,21,71
34,56,39,17,51
42,46,59,-13,50
38,53,38,15,69
40,64,52,12,60
42,55,83,-28,36
38,51,33,18,64
38,43,57,-14,45
34,39,38,1,50
34,42,50,-8,42
38,46,60,-14,45
38,43,44,-1,51
38,45,46,-1,49
38,41,48,-7,44
38,47,58,-11,46
38,45,53,-8,46
34,55,40,15,60
38,41,47,-6,44
38,62,43,19,68
37,38,47,-9,41
42,47,50,-3,49
34,42,51,-9,43
38,39,34,5,53
38,42,29,13,71
30,25,39,-14,29
38,27,22,5,50
36,38,53,-15,38
36,42,70,-28,29
38,36,39,-3,54
38,41,56,-15,46
38,34,55,-21,36
34,58,46,12,55
38,39,56,-17,42
38,44,53,-9,45
38,28,68,-40,27
38,34,41,-7,47
34,61,37,24,57
34,43,46,-3,40
34,30,52,-22,30
30,62,23,39,71
38,54,32,22,68
38,37,80,-43,34
42,66,63,3,61
38,56,57,-1,49
38,41,42,-1,50
30,41,49,-8,34
38,40,63,-23,39
42,71,28,43,82
38,43,61,-18,37
38,46,53,-7,49
34,57,58,-1,44
36,36,67,-31,35
38,24,51,-27,35
38,57,37,20,70
34,37,46,-9,41
38,36,31,5,58
28,28,33,-5,39
38,52,49,3,53
38,73,58,15,60
38,40,59,-19,42
42,60,58,2,52
38,42,46,-4,52
38,41,60,-19,38
34,50,56,-6,43
36,45,64,-19,38
42,40,45,-5,53
38,37,48,-11,44
34,39,34,5,49
38,40,52,-12,39
34,42,46,-4,44
42,52,41,11,65
40,72,41,31,82
30,29,35,-6,35
38,49,52,-3,46
34,64,41,23,66
42,33,52,-19,41
38,52,73,-21,38
42,57,42,15,68
38,42,58,-16,46
34,43,45,-2,45
38,75,37,38,73
42,59,40,19,69
38,37,53,-16,38
34,33,49,-16,35
34,37,45,-8,37
34,32,58,-26,31
38,52,50,2,40
38,72,37,35,73
38,25,51,-26,32
38,65,40,25,69
38,47,45,2,55
34,42,47,-5,39
38,34,66,-32,32
38,42,64,-22,41
38,52,56,-4,45
30,36,26,10,49
34,30,42,-12,35
38,30,51,-21,36
38,39,77,-38,25
38,45,75,-30,31
36,42,71,-29,33
38,66,36,30,66
38,37,54,-17,42
38,34,43,-9,46
30,25,42,-17,23
42,57,57,0,51
38,41,55,-14,50
36,53,31,22,63
34,33,45,-12,36
38,52,47,5,56
38,38,48,-10,44
34,74,29,45,75
38,31,78,-47,21
28,41,38,3,41
42,59,59,0,64
34,64,23,41,79
38,52,61,-9,46
34,46,42,4,50
34,39,49,-10,36
38,67,29,38,78
42,45,46,-1,52
38,33,39,-6,46
42,51,31,20,74
38,75,49,26,64
34,46,47,-1,38
38,37,62,-25,40
38,45,47,-2,49
38,51,39,12,57
34,58,61,-3,46
34,65,40,25,64
42,46,30,16,72
38,59,44,15,67
38,43,59,-16,37
38,26,54,-28,41
34,74,33,41,74
34,27,54,-27,35
30,28,34,-6,35
38,49,57,-8,48
34,54,49,5,48
38,30,53,-23,42
38,37,62,-25,38
42,51,42,9,65
38,38,51,-13,38
38,59,55,4,58
42,54,66,-12,49
38,49,44,5,51
34,48,41,7,63
34,55,54,1,49
42,43,47,-4,53
38,44,50,-6,43
36,45,51,-6,43
38,73,44,29,74
36,59,32,27,69
38,31,59,-28,30
38,75,41,34,79
34,50,46,4,55
28,34,25,9,51
38,41,48,-7,46
34,46,54,-8,38
38,45,48,-3,48
38,34,49,-15,41
30,45,20,25,66
38,53,60,-7,48
37,32,52,-20,27
34,53,46,7,50
38,50,69,-19,37
30,41,45,-4,42
38,38,64,-26,36
42,40,41,-1,53
38,45,45,0,51
36,33,56,-23,35
38,53,43,10,56
38,51,43,8,56
42,50,56,-6,50
34,61,64,-3,45
34,44,70,-26,27
38,71,45,26,76
38,40,52,-12,42
38,60,32,28,63
34,38,66,-28,26
34,67,28,39,72
30,42,26,16,48
38,33,36,-3,42
34,52,60,-8,38
38,46,39,7,55
38,48,58,-10,46
34,32,57,-25,30
34,43,42,1,49
36,39,47,-8,38
34,36,40,-4,45
30,42,43,-1,41
34,32,70,-38,28
38,66,34,32,78
38,34,53,-19,34
42,63,45,18,71
42,33,66,-33,34
38,32,43,-11,42
42,50,58,-8,52
38,48,71,-23,38
36,34,42,-8,46
38,37,41,-4,45
42,54,64,-10,52
34,32,48,-16,41
34,39,75,-36,30
34,39,44,-5,52
38,45,41,4,48
42,56,52,4,63
34,30,43,-13,40
42,37,58,-21,40
